Date,Open,High,Low,Close
28/12/2023,107.022705,109.420654,97.668648,102.104568
29/12/2023,102.069283,109.67112,100.055511,106.311516
30/12/2023,106.2985,107.328224,101.068123,101.845085
31/12/2023,101.844177,105.133545,99.886429,101.505821
1/1/2024,101.51281,109.508682,101.51281,109.508682
2/1/2024,109.549065,116.755775,109.172279,112.378532
